"binomial_name","family","genus","species","restoration","count","relative_abundance_percent","mean_DBH","mean_Height"
"Phyyanthus  lancisepalus","Phyllanthaceae","Phyyanthus ","lancisepalus","NR",3,0.168255748738082,134.666666666667,16.1333333333333
"Glochidion pubicapsa","Phyllanthaceae","Glochidion","pubicapsa","AR",1,0.0459770114942529,219,17.3
"Phyllanthus  subscandens","Phyllanthaceae","Phyllanthus ","subscandens","AR",7,0.32183908045977,162.428571428571,19.6285714285714
"Phyllanthus  subscandens","Phyllanthaceae","Phyllanthus ","subscandens","NR",3,0.168255748738082,141.333333333333,13.3333333333333
"Glochidion unknown mixed","Phyllanthaceae","Glochidion","unknown mixed","AR",5,0.229885057471264,252.2,21.52
"Glochidion unknown mixed","Phyllanthaceae","Glochidion","unknown mixed","NR",1,0.0560852495793606,114,17.5
"Glycosmis macrantha","Rutaceae","Glycosmis","macrantha","AR",1,0.0459770114942529,130,14.8
"Goniothalamus uvarioides","Annonaceae","Goniothalamus","uvarioides","NR",2,0.112170499158721,171,7.95
"Guioa pleuropteris","Sapindaceae","Guioa","pleuropteris","AR",1,0.0459770114942529,120,11.7
"Guioa pleuropteris","Sapindaceae","Guioa","pleuropteris","NR",1,0.0560852495793606,299,23.9
"Helicia excelsa","Proteaceae","Helicia","excelsa","AR",1,0.0459770114942529,109,11.7
"Helicia excelsa","Proteaceae","Helicia","excelsa","NR",1,0.0560852495793606,101,7.5
"Helicia robusta","Proteaceae","Helicia","robusta","AR",1,0.0459770114942529,238,26.6
"Hopea ferruginea","Dipterocarpaceae","Hopea","ferruginea","AR",4,0.183908045977011,185.5,25.675
"Hopea nervosa","Dipterocarpaceae","Hopea","nervosa","AR",58,2.66666666666667,198.241379310345,20.0655172413793
"Hopea nervosa","Dipterocarpaceae","Hopea","nervosa","AR",1,0.0459770114942529,283,23.7
"Hopea nervosa","Dipterocarpaceae","Hopea","nervosa","NR",17,0.953449242849131,176.941176470588,17.0941176470588
"Hopea sangal","Dipterocarpaceae","Hopea","sangal","AR",1,0.0459770114942529,232,25.2
"Hopea sangal","Dipterocarpaceae","Hopea","sangal","NR",2,0.112170499158721,212,17.2
"Hopea unknown mixed","Dipterocarpaceae","Hopea","unknown mixed","AR",1,0.0459770114942529,127,19
"Hopea unknown mixed","Dipterocarpaceae","Hopea","unknown mixed","NR",1,0.0560852495793606,590,37.7
"Horsfieldia polyspherula","Myristicaceae","Horsfieldia","polyspherula","NR",5,0.280426247896803,198.2,15.1
"Huberantha rumphii","Annonaceae","Huberantha","rumphii","AR",3,0.137931034482759,174.666666666667,20.8333333333333
"Huberantha rumphii","Annonaceae","Huberantha","rumphii","NR",4,0.224340998317443,138.75,13.1
"Hydnocarpus anomalus","Achariaceae","Hydnocarpus","anomalus","AR",1,0.0459770114942529,126,17
"Hydnocarpus anomalus","Achariaceae","Hydnocarpus","anomalus","NR",2,0.112170499158721,149,16.75
"Hydnocarpus borneensis","Achariaceae","Hydnocarpus","borneensis","AR",6,0.275862068965517,137,15.9666666666667
"Hydnocarpus borneensis","Achariaceae","Hydnocarpus","borneensis","NR",1,0.0560852495793606,102,6.8
"Hydnocarpus unknown mixed","Achariaceae","Hydnocarpus","unknown mixed","NR",1,0.0560852495793606,128,11.7
"Intsia palembanica","Fabaceae","Intsia","palembanica","AR",2,0.0919540229885057,323,22.95
"Intsia palembanica","Fabaceae","Intsia","palembanica","NR",3,0.168255748738082,171,16.9333333333333
"Ixora blumei","Rubiaceae","Ixora","blumei","AR",3,0.137931034482759,131.333333333333,13.8333333333333
"Ixora blumei","Rubiaceae","Ixora","blumei","NR",1,0.0560852495793606,121,11
"Ixora grandifolia","Rubiaceae","Ixora","grandifolia","AR",1,0.0459770114942529,125,13.6
"Kayea unknown mixed","Calophyllaceae","Kayea","unknown mixed","NR",1,0.0560852495793606,177,18.9
"Kibara obtusa","Monimiaceae","Kibara","obtusa","AR",1,0.0459770114942529,180,14.2
"Knema elmeri","Myristicaceae","Knema","elmeri","AR",7,0.32183908045977,172.571428571429,18.8428571428571
"Knema elmeri","Myristicaceae","Knema","elmeri","NR",7,0.392596747055524,170,14.6
"Knema latericia","Myristicaceae","Knema","latericia","AR",11,0.505747126436782,155.454545454545,16.3181818181818
"Knema latericia","Myristicaceae","Knema","latericia","NR",10,0.560852495793606,120.8,12.01
"Knema laurina","Myristicaceae","Knema","laurina","AR",9,0.413793103448276,174.333333333333,19.2666666666667
"Knema laurina","Myristicaceae","Knema","laurina","NR",7,0.392596747055524,137.857142857143,13.4
"Knema pectinata","Myristicaceae","Knema","pectinata","NR",3,0.168255748738082,118,9.76666666666667
"Knema unknown mixed","Myristicaceae","Knema","unknown mixed","AR",4,0.183908045977011,198.5,21.8
"Koilodepas longifolium","Euphorbiaceae","Koilodepas","longifolium","AR",45,2.06896551724138,141.136363636364,11.2477272727273
"Koilodepas longifolium","Euphorbiaceae","Koilodepas","longifolium","NR",36,2.01906898485698,125,9.68611111111111
"Koompassia excelsa","Fabaceae","Koompassia","excelsa","AR",2,0.0919540229885057,646.5,55.15
"Koompassia excelsa","Fabaceae","Koompassia","excelsa","NR",2,0.112170499158721,869.5,48.3
"Lansium domesticum","Meliaceae","Lansium","domesticum","AR",4,0.183908045977011,259.75,17.9
"Lansium domesticum","Meliaceae","Lansium","domesticum","NR",3,0.168255748738082,123.666666666667,13.8333333333333
"Leea aculeata","Vitaceae","Leea","aculeata","AR",6,0.275862068965517,106.5,10.0166666666667
"Leea aculeata","Vitaceae","Leea","aculeata","NR",3,0.168255748738082,109.333333333333,6.43333333333333
"Lepisanthes senegalensis","Sapindaceae","Lepisanthes","senegalensis","AR",3,0.137931034482759,111.666666666667,12.1333333333333
"Lepisanthes senegalensis","Sapindaceae","Lepisanthes","senegalensis","NR",2,0.112170499158721,188,14.35
"Lepisanthes unknown mixed","Sapindaceae","Lepisanthes","unknown mixed","NR",1,0.0560852495793606,770,36.8
"Lithocarpus ewyckii","Fagaceae","Lithocarpus","ewyckii","AR",2,0.0919540229885057,268,26.2
"Lithocarpus ewyckii","Fagaceae","Lithocarpus","ewyckii","NR",2,0.112170499158721,147.5,14.9
"Lithocarpus gracilis","Fagaceae","Lithocarpus","gracilis","AR",12,0.551724137931034,294.416666666667,25.6583333333333
"Lithocarpus gracilis","Fagaceae","Lithocarpus","gracilis","NR",15,0.841278743690409,260.6,18.8866666666667
"Lithocarpus leptogyne","Fagaceae","Lithocarpus","leptogyne","AR",7,0.32183908045977,416.285714285714,34.6857142857143
"Lithocarpus leptogyne","Fagaceae","Lithocarpus","leptogyne","NR",4,0.224340998317443,210,22.4
"Lithocarpus nieuwenhuisii","Fagaceae","Lithocarpus","nieuwenhuisii","AR",4,0.183908045977011,199.75,19.6
"Lithocarpus nieuwenhuisii","Fagaceae","Lithocarpus","nieuwenhuisii","NR",7,0.392596747055524,206.428571428571,26.9428571428571
"Lithocarpus unknown mixed","Fagaceae","Lithocarpus","unknown mixed","AR",38,1.74712643678161,265.236842105263,24.4736842105263
"Lithocarpus unknown mixed","Fagaceae","Lithocarpus","unknown mixed","NR",8,0.448681996634885,263.375,18.675
"Litsea accedens","Lauraceae","Litsea","accedens","AR",3,0.137931034482759,231,21.2666666666667
"Litsea accedens","Lauraceae","Litsea","accedens","NR",2,0.112170499158721,134.5,9.6
"Litsea angulata","Lauraceae","Litsea","angulata","AR",6,0.275862068965517,173.5,16
"Litsea angulata","Lauraceae","Litsea","angulata","NR",7,0.392596747055524,188.428571428571,12.2142857142857
"Litsea caulocarpa","Lauraceae","Litsea","caulocarpa","AR",8,0.367816091954023,272,19.1
"Litsea caulocarpa","Lauraceae","Litsea","caulocarpa","NR",4,0.224340998317443,122,10.275
"Litsea cordata","Lauraceae","Litsea","cordata","NR",1,0.0560852495793606,194,14.6
"Litsea fulva","Lauraceae","Litsea","fulva","AR",1,0.0459770114942529,164,31.4
"Litsea garciae","Lauraceae","Litsea","garciae","AR",1,0.0459770114942529,673,39.2
"Litsea garciae","Lauraceae","Litsea","garciae","NR",1,0.0560852495793606,226,14.7
"Litsea grandis","Lauraceae","Litsea","grandis","AR",4,0.183908045977011,303.5,21.575
"Litsea grandis","Lauraceae","Litsea","grandis","NR",1,0.0560852495793606,333,27.1
"Litsea oppositifolia","Lauraceae","Litsea","oppositifolia","AR",2,0.0919540229885057,168.5,16.05
"Litsea unknown mixed","Lauraceae","Litsea","unknown mixed","AR",11,0.505747126436782,160.363636363636,14.7090909090909
"Litsea unknown mixed","Lauraceae","Litsea","unknown mixed","NR",6,0.336511497476164,231.5,17.3833333333333
"Lophopetalum beccarianum","Celastraceae","Lophopetalum","beccarianum","NR",2,0.112170499158721,155.5,15.5
"Lophopetalum javanicum","Celastraceae","Lophopetalum","javanicum","AR",27,1.24137931034483,188.307692307692,20.7115384615385
"Lophopetalum javanicum","Celastraceae","Lophopetalum","javanicum","NR",14,0.785193494111049,219.5,19.4
"Ludekia borneensis","Rubiaceae","Ludekia","borneensis","AR",3,0.137931034482759,457.333333333333,31.1
"Ludekia borneensis","Rubiaceae","Ludekia","borneensis","NR",7,0.392596747055524,176,13.9571428571429
"Ludekia unknown mixed","Rubiaceae","Ludekia","unknown mixed","NR",1,0.0560852495793606,103,12
"Maasia sumatrana","Annonaceae","Maasia","sumatrana","AR",15,0.689655172413793,189.533333333333,19.0266666666667
"Maasia sumatrana","Annonaceae","Maasia","sumatrana","NR",10,0.560852495793606,171.2,17.27
"Macaranga conifera","Euphorbiaceae","Macaranga","conifera","AR",5,0.229885057471264,327,29.56
"Macaranga gigantea","Euphorbiaceae","Macaranga","gigantea","AR",24,1.10344827586207,342.391304347826,25.1434782608696
"Macaranga gigantea","Euphorbiaceae","Macaranga","gigantea","AR",3,0.137931034482759,422.333333333333,34.2333333333333
"Macaranga gigantea","Euphorbiaceae","Macaranga","gigantea","NR",11,0.616937745372967,328,20.4727272727273
"Macaranga hypoleuca","Euphorbiaceae","Macaranga","hypoleuca","AR",27,1.24137931034483,379.076923076923,29.8692307692308
"Macaranga hypoleuca","Euphorbiaceae","Macaranga","hypoleuca","NR",44,2.46775098149187,327.372093023256,25.0860465116279
"Macaranga pearsonii","Euphorbiaceae","Macaranga","pearsonii","AR",52,2.39080459770115,422.078431372549,29.7705882352941
"Macaranga pearsonii","Euphorbiaceae","Macaranga","pearsonii","NR",25,1.40213123948402,428.16,26.9
"Madhuca elmeri","Sapotaceae","Madhuca","elmeri","NR",1,0.0560852495793606,103,11.4
"Madhuca kingiana","Sapotaceae","Madhuca","kingiana","AR",19,0.873563218390805,307.052631578947,22.2157894736842
"Madhuca kingiana","Sapotaceae","Madhuca","kingiana","NR",2,0.112170499158721,147,14
"Madhuca korthalsii","Sapotaceae","Madhuca","korthalsii","AR",6,0.275862068965517,174.333333333333,39.3333333333333
"Madhuca korthalsii","Sapotaceae","Madhuca","korthalsii","NR",5,0.280426247896803,162.8,15.22
"Magnolia acuminata","Magnoliaceae","Magnolia","acuminata","AR",3,0.137931034482759,129.666666666667,16
"Magnolia acuminata","Magnoliaceae","Magnolia","acuminata","NR",2,0.112170499158721,200.5,19.1
"Magnolia gigantifolia","Magnoliaceae","Magnolia","gigantifolia","AR",3,0.137931034482759,161.333333333333,12.5666666666667
"Magnolia gigantifolia","Magnoliaceae","Magnolia","gigantifolia","NR",1,0.0560852495793606,241,27.3
"Mallotus korthalsii","Euphorbiaceae","Mallotus","korthalsii","AR",13,0.597701149425287,149.230769230769,16.5153846153846
"Mallotus korthalsii","Euphorbiaceae","Mallotus","korthalsii","NR",15,0.841278743690409,131.857142857143,13.8928571428571
"Mallotus lackeyi","Euphorbiaceae","Mallotus","lackeyi","AR",2,0.0919540229885057,113,7.15
"Hancea penangensis","Euphorbiaceae","Hancea","penangensis","AR",26,1.19540229885057,152.269230769231,17.5846153846154
"Hancea penangensis","Euphorbiaceae","Hancea","penangensis","NR",2,0.112170499158721,171,14
"Mallotus species 1","Euphorbiaceae","Mallotus","species 1","AR",13,0.597701149425287,170.615384615385,15.4538461538462
"Mallotus species 1","Euphorbiaceae","Mallotus","species 1","NR",20,1.12170499158721,179.5,11.85
"Hancea stipularis","Euphorbiaceae","Hancea","stipularis","AR",19,0.873563218390805,153.631578947368,16.4368421052632
"Hancea stipularis","Euphorbiaceae","Hancea","stipularis","NR",6,0.336511497476164,137.333333333333,14.0666666666667
"Mallotus unknown mixed","Euphorbiaceae","Mallotus","unknown mixed","AR",1,0.0459770114942529,114,11.9
"Mallotus wrayi","Euphorbiaceae","Mallotus","wrayi","AR",60,2.75862068965517,123.344827586207,13.3706896551724
"Mallotus wrayi","Euphorbiaceae","Mallotus","wrayi","NR",19,1.06561974200785,120.842105263158,10.6684210526316
"Mangifera caesia","Anacardiaceae","Mangifera","caesia","AR",3,0.137931034482759,180.333333333333,17.1
"Mangifera caesia","Anacardiaceae","Mangifera","caesia","NR",4,0.224340998317443,350.75,26.225
"Mangifera pajang","Anacardiaceae","Mangifera","pajang","AR",1,0.0459770114942529,220,19.8
"Mangifera unknown mixed","Anacardiaceae","Mangifera","unknown mixed","AR",2,0.0919540229885057,380,30.25
"Mangifera unknown mixed","Anacardiaceae","Mangifera","unknown mixed","NR",1,0.0560852495793606,220,18.3
"Urophyllum  corymbosum","Rubiaceae","Urophyllum ","corymbosum","AR",2,0.0919540229885057,133.5,9.1
"Mastixia trichotoma","Nyssaceae","Mastixia","trichotoma","AR",1,0.0459770114942529,115,16.7
"Mastixia trichotoma","Nyssaceae","Mastixia","trichotoma","NR",1,0.0560852495793606,120,10.7
"Meiogyne virgata","Annonaceae","Meiogyne","virgata","AR",3,0.137931034482759,205,18.2666666666667
"Meiogyne virgata","Annonaceae","Meiogyne","virgata","NR",4,0.224340998317443,222.5,20.275
"Melanochyla beccariana","Anacardiaceae","Melanochyla","beccariana","NR",1,0.0560852495793606,169,15.2
"Meliosma pinnata","Sabiaceae","Meliosma","pinnata","AR",1,0.0459770114942529,239,28.7
"Meliosma sumatrana","Sabiaceae","Meliosma","sumatrana","NR",3,0.168255748738082,109.666666666667,9.6
"Memecylon paniculatum","Melastomataceae","Memecylon","paniculatum","NR",1,0.0560852495793606,137,12.5
"Memecylon paniculatum","Melastomataceae","Memecylon","paniculatum","NR",1,0.0560852495793606,118,20.9
"Microcos crassifolia","Malvaceae","Microcos","crassifolia","AR",9,0.413793103448276,160.333333333333,16.4666666666667
"Microcos crassifolia","Malvaceae","Microcos","crassifolia","NR",6,0.336511497476164,215.5,17.9
"Microcos fibrocarpa","Malvaceae","Microcos","fibrocarpa","AR",6,0.275862068965517,197.333333333333,19.3333333333333
"Microcos fibrocarpa","Malvaceae","Microcos","fibrocarpa","NR",1,0.0560852495793606,117,8.4
"Microcos latistipulata","Malvaceae","Microcos","latistipulata","AR",4,0.183908045977011,185.5,16.375
"Microcos latistipulata","Malvaceae","Microcos","latistipulata","NR",2,0.112170499158721,191.5,16.6
"Microcos ossea","Malvaceae","Microcos","ossea","AR",7,0.32183908045977,159,16.0285714285714
"Microcos ossea","Malvaceae","Microcos","ossea","NR",5,0.280426247896803,166,14.88
"Microcos unknown mixed","Malvaceae","Microcos","unknown mixed","AR",1,0.0459770114942529,181,20.3
"Monoon erianthoides","Annonaceae","Monoon","erianthoides","NR",1,0.0560852495793606,129,19.1
"Monoon grandiflorum","Annonaceae","Monoon","grandiflorum","AR",3,0.137931034482759,164.666666666667,16.6666666666667
"Monoon grandiflorum","Annonaceae","Monoon","grandiflorum","NR",5,0.280426247896803,155.2,12.48
"Monoon hookerianum","Annonaceae","Monoon","hookerianum","AR",1,0.0459770114942529,400,46.9
"Monoon hookerianum","Annonaceae","Monoon","hookerianum","NR",1,0.0560852495793606,168,17.7
"Nauclea sp1","Rubiaceae","Nauclea","sp1","AR",2,0.0919540229885057,154.5,21.7
"Nauclea sp1","Rubiaceae","Nauclea","sp1","NR",5,0.280426247896803,235.8,15.76
"Nauclea subdita","Rubiaceae","Nauclea","subdita","NR",1,0.0560852495793606,377,37
"Nauclea unknown mixed","Rubiaceae","Nauclea","unknown mixed","AR",2,0.0919540229885057,177.5,16.65
"Neesia synandra","Malvaceae","Neesia","synandra","AR",5,0.229885057471264,155.8,18.94
"Neesia synandra","Malvaceae","Neesia","synandra","NR",5,0.280426247896803,151.2,12.62
"Neesia unknown mixed","Malvaceae","Neesia","unknown mixed","AR",1,0.0459770114942529,107,10.5
"Neesia unknown mixed","Malvaceae","Neesia","unknown mixed","NR",1,0.0560852495793606,111,12.9
"Neo-Uvaria acuminatissima","Annonaceae","Neo-Uvaria","acuminatissima","AR",1,0.0459770114942529,111,5.6
"Neo-Uvaria acuminatissima","Annonaceae","Neo-Uvaria","acuminatissima","NR",1,0.0560852495793606,107,10.5
"Neolamarckia cadamba","Rubiaceae","Neolamarckia","cadamba","AR",25,1.14942528735632,452.8,37.228
"Neonauclea  gigantea","Rubiaceae","Neonauclea ","gigantea","NR",5,0.280426247896803,365.6,17.1
"Neonauclea sp","Rubiaceae","Neonauclea","sp","AR",5,0.229885057471264,153.6,11.24
"Neonauclea sp1","Rubiaceae","Neonauclea","sp1","AR",2,0.0919540229885057,177,14.45
"Neoscortechinia kingii","Euphorbiaceae","Neoscortechinia","kingii","AR",17,0.781609195402299,184.176470588235,20.1235294117647
"Neoscortechinia kingii","Euphorbiaceae","Neoscortechinia","kingii","NR",8,0.448681996634885,184.375,16.4
"Nephelium cuspidatum","Sapindaceae","Nephelium","cuspidatum","NR",1,0.0560852495793606,268,11.9
"Nephelium maingayi","Sapindaceae","Nephelium","maingayi","AR",2,0.0919540229885057,377,29.5
"Nephelium maingayi","Sapindaceae","Nephelium","maingayi","NR",1,0.0560852495793606,187,17.4
"Nephelium ramboutan-ake","Sapindaceae","Nephelium","ramboutan-ake","AR",15,0.689655172413793,245.333333333333,22.5733333333333
"Nephelium ramboutan-ake","Sapindaceae","Nephelium","ramboutan-ake","NR",15,0.841278743690409,179.466666666667,15.42
"Nothaphoebe canescens","Lauraceae","Nothaphoebe","canescens","AR",1,0.0459770114942529,272,26.8
"Nothaphoebe umbelliflora","Lauraceae","Nothaphoebe","umbelliflora","AR",2,0.0919540229885057,220.5,18.1
"Nothaphoebe umbelliflora","Lauraceae","Nothaphoebe","umbelliflora","NR",4,0.224340998317443,271.25,22.6
"Nothaphoebe unknown mixed","Lauraceae","Nothaphoebe","unknown mixed","AR",1,0.0459770114942529,239,16.6
"Ochanostachys amentacea","Olacaceae","Ochanostachys","amentacea","AR",16,0.735632183908046,317.375,23.91875
"Ochanostachys amentacea","Olacaceae","Ochanostachys","amentacea","NR",5,0.280426247896803,275.2,18.34
"Octomeles sumatrana","Tetramelaceae","Octomeles","sumatrana","AR",10,0.459770114942529,748.4,39.39
"Octomeles sumatrana","Tetramelaceae","Octomeles","sumatrana","NR",4,0.224340998317443,581.5,32.9
"Ormosia bancana","Fabaceae","Ormosia","bancana","NR",1,0.0560852495793606,107,12
"Orophea corymbosa","Annonaceae","Orophea","corymbosa","NR",3,0.168255748738082,137.333333333333,14.8333333333333
"Orophea myriantha","Annonaceae","Orophea","myriantha","AR",2,0.0919540229885057,145,14.2
"Orophea myriantha","Annonaceae","Orophea","myriantha","NR",3,0.168255748738082,160.333333333333,15.4333333333333
"Palaquium beccarianum","Sapotaceae","Palaquium","beccarianum","AR",4,0.183908045977011,129.25,15.075
"Palaquium beccarianum","Sapotaceae","Palaquium","beccarianum","NR",4,0.224340998317443,310,20.225
"Palaquium dasyphyllum","Sapotaceae","Palaquium","dasyphyllum","NR",2,0.112170499158721,113,12.4
"Palaquium maingayi","Sapotaceae","Palaquium","maingayi","AR",2,0.0919540229885057,130,15.9
"Paranephelium macrophyllum","Sapindaceae","Paranephelium","macrophyllum","NR",3,0.168255748738082,134.333333333333,13.5666666666667
"Paranephelium xestophyllum","Sapindaceae","Paranephelium","xestophyllum","AR",9,0.413793103448276,152.222222222222,14.9666666666667
"Paranephelium xestophyllum","Sapindaceae","Paranephelium","xestophyllum","NR",20,1.12170499158721,160.6,13.58
"Parashorea malaanonan","Dipterocarpaceae","Parashorea","malaanonan","AR",36,1.6551724137931,289.138888888889,23.8194444444444
"Parashorea malaanonan","Dipterocarpaceae","Parashorea","malaanonan","NR",31,1.73864273696018,518.064516129032,28.9451612903226
"Parashorea tomentella","Dipterocarpaceae","Parashorea","tomentella","AR",10,0.459770114942529,351.8,30.05
"Parashorea tomentella","Dipterocarpaceae","Parashorea","tomentella","AR",1,0.0459770114942529,335,42.8
"Parashorea tomentella","Dipterocarpaceae","Parashorea","tomentella","NR",10,0.560852495793606,212.2,17.92
"Parinari excelsa","Chrysobalanaceae","Parinari","excelsa","AR",2,0.0919540229885057,218.5,15.6
"Parinari oblongifolia","Chrysobalanaceae","Parinari","oblongifolia","AR",3,0.137931034482759,178.333333333333,20.5333333333333
"Parinari unknown mixed","Chrysobalanaceae","Parinari","unknown mixed","NR",1,0.0560852495793606,459,20.8
"Parkia unknown mixed","Fabaceae","Parkia","unknown mixed","AR",1,0.0459770114942529,419,29.1
"Payena acuminata","Sapotaceae","Payena","acuminata","NR",1,0.0560852495793606,282,19
"Payena microphylla","Sapotaceae","Payena","microphylla","NR",2,0.112170499158721,389,28.2
"Payena unknown mixed","Sapotaceae","Payena","unknown mixed","AR",6,0.275862068965517,266,22.35
"Payena unknown mixed","Sapotaceae","Payena","unknown mixed","NR",4,0.224340998317443,151.5,15.425
"Peltophorum racemosum","Fabaceae","Peltophorum","racemosum","AR",1,0.0459770114942529,556,57.2
